ID,Name,Precision,Recall,F1,Correct,Status
1,Gesture 2,50.0%,100.0%,66.7%,1/1,✓ GOOD
2,Gesture 3,0.0%,0.0%,0.0%,0/0,❌ PROBLEMATIC
3,Gesture 4,0.0%,0.0%,0.0%,0/2,❌ PROBLEMATIC
4,Gesture 5,100.0%,100.0%,100.0%,1/1,✓ GOOD
5,Gesture 6,100.0%,100.0%,100.0%,2/2,✓ GOOD
6,Gesture 7,50.0%,33.3%,40.0%,1/3,❌ PROBLEMATIC
7,Gesture 8,33.3%,100.0%,50.0%,2/2,✓ GOOD
8,Gesture 9,0.0%,0.0%,0.0%,0/6,❌ PROBLEMATIC
9,Gesture 10,100.0%,100.0%,100.0%,1/1,✓ GOOD
10,Gesture 11,100.0%,100.0%,100.0%,2/2,✓ GOOD
11,Gesture 12,100.0%,100.0%,100.0%,1/1,✓ GOOD
12,Gesture 12,66.7%,100.0%,80.0%,4/4,✓ GOOD
